Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth_km,Vs30_estimated,NERHP_class,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
1835,2.0,20.0,8.5,Coliumo,-72.9578,-36.5518,8,-36.13,-73.35,35.49,-999.0,-999,34.45402139695985,40.34395188784461,68.48320057994303,58.32455518186346,58.3245555233907,157.94047682436207,0,52.10791494002725
1835,2.0,20.0,8.5,Concepción,-73.0492,-36.8205,8,-36.13,-73.35,35.49,223.0,-999,33.39594058380033,39.44418475495819,88.6417294667447,74.28691179379584,74.28691196894373,151.8579021184491,0,51.9487470501391
1835,2.0,20.0,8.5,Concepcion Bay,-73.0808,-36.7123,8,-36.13,-73.35,35.49,-999.0,-999,32.20114260845313,38.4378517713528,77.57322534482985,63.19734000722022,63.197340182804076,151.14003712318717,0,49.965057735398574
1835,2.0,20.0,8.5,Constitucion,-72.4137,-35.3305,7,-36.13,-73.35,35.49,195.0,-999,86.3017316474462,88.81747434404095,127.68514265699149,141.43507963489418,141.4350803006868,269.44860319004,0,135.2298526278242
1835,2.0,20.0,8.5,Copiapo,-70.3324,-27.3676,5,-36.13,-73.35,35.49,-999.0,-999,976.653551166423,976.8790681908848,1013.2501422611057,1029.9756256408177,1029.9756268202002,1165.157631959371,0,1114.841730409852
1835,2.0,20.0,8.5,Coquimbo,-71.3382,-29.9598,5,-36.13,-73.35,35.49,-999.0,-999,677.9122117650048,678.2370689689759,710.4739332502692,726.9382902452006,726.9382909346282,862.7398655331201,0,800.4329727156786
1835,2.0,20.0,8.5,Coyanco,-72.5813,-36.7514,8,-36.13,-73.35,35.49,-999.0,-999,46.35746506775829,50.88781220503573,103.7512018317524,96.91735356822473,96.91735420326117,173.61400852408966,0,68.23484126577189
1835,2.0,20.0,8.5,Coyhuin,,,5,-36.13,-73.35,35.49,-999.0,-999,,,,,,,0,
1835,2.0,20.0,8.5,Curico,-71.2445,-34.9834,6,-36.13,-73.35,35.49,-999.0,-999,157.01791201669522,158.41458126570672,232.121664477135,246.16975562585466,246.16975738981785,360.1429869265563,0,245.28497596278822
1835,2.0,20.0,8.5,Dichato,-72.9374,-36.549,8,-36.13,-73.35,35.49,-999.0,-999,34.956504824058875,40.77391436961878,69.23384200304167,59.55466645162381,59.554666814523706,158.95327965021588,0,52.721876414296844
1835,2.0,20.0,8.5,Florida,-72.6641,-36.8297,8,-36.13,-73.35,35.49,-999.0,-999,44.24290279465011,48.96926904910274,105.19579670896033,96.43954283510413,96.43954335516497,168.25860958622405,0,65.71919001555239
1835,2.0,20.0,8.5,Guaguague,-71.022,-34.3551,6,-36.13,-73.35,35.49,-999.0,-999,222.85404491834726,223.84030066092944,291.41357533846724,306.8074522656338,306.8074540342252,425.92446304242367,0,323.394183188171
1835,2.0,20.0,8.5,Hualqui,-72.9356,-36.9743,8,-36.13,-73.35,35.49,-999.0,-999,36.9979603579871,42.53708892434622,106.83667097842887,93.46035441411294,93.46035464192201,155.66893552078602,0,57.22929468099322
