"","MSK64","Rhyp","Rasp","Rasp_max","Rasp_pond","Rhf","Rhf_max","Rhf_pond","f0","residuals_Rasp_max","residuals_Rhf_max","residuals_Rhf","residuals_Rhf_pond","logf0_1","logf0_5","residuals_Rasp_max_f0","residuals_Rhf_max_f0","residuals_Rhf_f0","residuals_Rhf_pond_f0"
"65",6.5,136.247405837348,111.136697765665,111.13669844624,155.294134139843,94.9547431885626,128.504466960762,113.97575714298,0.17,-0.695052781957509,-0.339208746866728,-0.151250492680859,-0.601251205945615,-0.769551078621726,0,-0.402626427562239,0.0182513029270879,0.0663528940580654,-0.242983119260122
"66",6.5,133.99457418374,116.245251584904,116.245252233315,156.368021087183,90.6192893516515,135.901262792273,118.632207201058,8.53502,-0.644063596942388,-0.307677146002207,-0.202160971605551,-0.559219600678047,0,0.931204543128487,-0.275230851990191,-0.0970898705530079,0.148009923105812,-0.255611938620374
"67",6.5,143.430227136715,139.560035319321,139.560036046953,169.748973435137,92.1444901702558,156.962641832162,136.433486714795,0.35005,-0.436671698896773,-0.226500472122394,-0.183978296822563,-0.412464446023952,-0.455869918012035,0,-0.315022462895389,-0.0604563071216367,-0.098348819423143,-0.255432396870053
"68",6.5,134.600304682831,144.156556582863,144.156557168616,167.050412879965,82.4784796841312,168.542689908747,142.321865864138,0.38339,-0.399905771430048,-0.1863957517495,-0.304704303152879,-0.368111267865165,-0.416359219056958,0,-0.29951369968678,-0.0431237395406184,-0.23839477880037,-0.234927962178204
"69",6.5,73.3295739006274,96.977038953167,171.593670962957,142.804671591598,50.0625619910728,235.421901350018,183.314706266466,2.86722,-0.202229551829856,0.00189265470954991,-0.848594207102388,-0.102422965972391,0,0,-0.337244867067313,-0.106909565122543,-0.969032141185471,-0.23524654458592
"70",6.5,106.367875104823,134.723654200212,177.435624358854,160.956257301467,68.6289683246386,226.581514971318,179.90229204649,6.44,-0.164245632989341,-0.0196718253550156,-0.504957701008589,-0.122147009010341,0,0.808885867359812,0.163747038113677,0.161737899125635,-0.221642923321237,0.1515982978838
"71",6.5,119.669894665261,137.491257900792,191.159641640867,170.453010878345,79.4469792268498,237.78579977575,191.574707963537,0.21,-0.0797186603810362,0.00752177512114147,-0.345499030866547,-0.0561598546663134,-0.677780705266081,0,0.195176116807874,0.32518780618648,-0.170776912672614,0.278915411651088
"72",6.5,91.3327484443695,95.8012961896753,188.074125406417,152.47291522254,63.998145546756,248.613277278064,196.469766400844,5.73446,-0.0981812841537333,0.0326097852820848,-0.581062704951884,-0.0296756460313327,0,0.758492527719079,0.205077851272754,0.198570507758269,-0.324166596706959,0.225386517408271
"73",6.5,136.485948955597,103.872167454253,232.102245280527,182.627812119656,105.612173044732,286.796687407323,235.443811701113,1.1002,0.14046717127765,0.113107969285946,-0.0353692300206903,0.16027865864261,0,0,0.0260430796313467,0.0100503632607602,-0.136999219590062,0.0465898758105706
"74",6.5,144.393457478776,43.3796801518516,262.788594881211,178.135041845645,130.634568418401,332.733855248207,277.710710863186,0.46674,0.281349438532975,0.196814478163521,0.196266636244973,0.333589143882737,-0.330924978127342,0,0.371934026544151,0.306160818072368,0.238424140515801,0.459329381832259
"75",6.5,181.617699375925,119.575667006334,280.943069744213,218.683411820856,151.21088073181,334.148428779481,282.769624753599,8.83508,0.357141466705777,0.199204692885507,0.355612452534519,0.352538579807596,0,0.946210486316043,0.794679562017109,0.44137847151065,0.726026039832425,0.730126415350021
"76",6.5,207.222252501409,117.574800858745,316.258829766563,239.601465892828,181.654640131936,375.060759361003,321.624631212796,3.38399,0.491485192245966,0.264280899934505,0.555440115406267,0.487687821439732,0,0,0.398152316438385,0.169031841751332,0.467474129894971,0.397847035270418
"77",6,313.189121440869,209.12108740995,209.121089269309,290.44753302194,123.01262231452,129.775505060555,178.635447455871,0.46674,-0.477828700165626,-0.833663367494293,-0.369223723429044,-0.629564855780313,-0.330924978127342,0,-0.402817050685899,-0.751717843453577,-0.328580854204661,-0.537560066600552
"78",6,284.952182842347,184.76035579401,184.760357570589,264.122533360306,102.062694524323,108.935819191275,154.685348346274,1.35025,-0.61835010194708,-0.932287918760769,-0.572611289900534,-0.780670806322378,0,0,-0.748325449216425,-1.06351690352671,-0.675102599050017,-0.926477692627998
"79",6,252.601529973785,144.761580947245,144.761582159707,229.049061921178,65.3631441226167,69.9551317714347,119.027813055979,6.58463,-0.895153927806163,-1.18182801681858,-1.0580718685815,-1.05572502405782,0,0.818531376340643,-0.575541682955967,-1.03114680415995,-0.771265739631947,-0.808695658432874
"80",6,239.053620291576,150.28196912027,150.281970755223,223.924454857972,83.2153492087979,89.3266715242215,124.074886863134,0.13,-0.852692244343591,-1.04410296161244,-0.795014880182956,-1.01213371939815,-0.886056647693163,0,-0.470499637252688,-0.623969521655121,-0.532000592958844,-0.567525275417269
"81",6,217.461629435485,140.999788385021,140.999789958022,208.308714704428,90.4554943328536,95.4725789667185,119.280808972169,0.059,-0.925026964250889,-1.00661378333334,-0.704131821840265,-1.05349627329988,-1.22914798835786,0,-0.343411129959704,-0.368813654040011,-0.295495964894308,-0.376756839751292
"82",6,146.807973234964,133.288730058292,133.288730853298,169.058267860262,97.4840779171859,146.778943549124,130.123188359048,0.33338,-0.98883624548198,-0.764294571042717,-0.622612048566319,-0.962172763832722,-0.477060457747885,0,-0.857735831267759,-0.586878320834604,-0.526699032851608,-0.794238079864874
"83",6,69.9633475541323,103.062425120066,164.93762526941,141.064595491876,46.666756983893,228.350121787918,176.806293579905,0.86682,-0.747115507529598,-0.515291087541561,-1.42511402270349,-0.640368573619451,-0.0620710768291079,0,-0.847962450906121,-0.585951616544399,-1.52135652126648,-0.733414533046089
"84",6,137.529146807204,138.182532981724,213.009430729767,184.139305832741,97.5602374446727,258.202623421108,211.742205497701,0.35005,-0.456926455477972,-0.446067106289842,-0.621761298962298,-0.451095468629571,-0.455869918012035,0,-0.306451319174849,-0.265537693538673,-0.534692891529316,-0.26045798907419
"85",6,138.430084675678,118.770408141606,226.427247384205,184.890494140355,105.38128860116,277.125727693175,227.549732111265,1.70032,-0.387618422311016,-0.406218508702919,-0.537753396831147,-0.375519133343883,0,0,-0.503730060695527,-0.510274386887983,-0.639438526464273,-0.491815374124056
"86",6,148.478117246864,131.78850893011,231.199414402938,192.844152598094,112.876659629301,278.18926840858,230.244696292892,5.30104,-0.3639547000248,-0.404060390795106,-0.462901178730025,-0.36316036770424,0,0.724361081289949,-0.0660624708358698,-0.247121163211397,-0.20840972564268,-0.113185529223145
